,atm,bar,bus_stop,drinking_water,fast_food,hospital,hostel,incident_0,incident_1,incident_10,incident_11,incident_12,incident_13,incident_14,incident_15,incident_16,incident_17,incident_18,incident_19,incident_2,incident_20,incident_21,incident_22,incident_23,incident_3,incident_4,incident_5,incident_6,incident_7,incident_8,incident_9,name,nightclub,parking,place_of_worship,points,police,pub,restaurant,shop,taxi
100183506,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.21764', 'lat': '-33.87626'}, {'lon': '151.21761', 'lat': '-33.8762'}, {'lon': '151.21763', 'lat': '-33.87613'}, {'lon': '151.21764', 'lat': '-33.87609'}, {'lon': '151.21769', 'lat': '-33.87603'}]",0,0,0,0,0
100183507,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,1,0,0,"[{'lon': '151.21792', 'lat': '-33.8749'}, {'lon': '151.21792', 'lat': '-33.8749'}, {'lon': '151.21792', 'lat': '-33.87468'}, {'lon': '151.21794', 'lat': '-33.87461'}, {'lon': '151.21796', 'lat': '-33.87453'}, {'lon': '151.21798', 'lat': '-33.87446'}, {'lon': '151.21803', 'lat': '-33.87436'}, {'lon': '151.21808', 'lat': '-33.87412'}, {'lon': '151.21813', 'lat': '-33.87398'}]",0,0,0,1,0
100183508,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.21693', 'lat': '-33.87987'}, {'lon': '151.21716', 'lat': '-33.8787'}, {'lon': '151.21729', 'lat': '-33.87801'}, {'lon': '151.21736', 'lat': '-33.87767'}, {'lon': '151.21743', 'lat': '-33.87731'}, {'lon': '151.21758', 'lat': '-33.87654'}, {'lon': '151.21759', 'lat': '-33.8765'}]",0,4,3,0,0
100183509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bourke Street Cycleway,0,0,0,"[{'lon': '151.2132', 'lat': '-33.89682'}, {'lon': '151.21327', 'lat': '-33.89647'}, {'lon': '151.21336', 'lat': '-33.89604'}, {'lon': '151.2134', 'lat': '-33.89588'}]",0,0,0,2,0
100183510,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.2166', 'lat': '-33.88118'}, {'lon': '151.21665', 'lat': '-33.88113'}, {'lon': '151.21665', 'lat': '-33.88112'}, {'lon': '151.21673', 'lat': '-33.88079'}, {'lon': '151.21683', 'lat': '-33.8807'}]",0,6,0,4,0
100183511,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[{'lon': '151.21769', 'lat': '-33.87603'}, {'lon': '151.21775', 'lat': '-33.87578'}, {'lon': '151.2178', 'lat': '-33.8755'}, {'lon': '151.21787', 'lat': '-33.87516'}, {'lon': '151.21792', 'lat': '-33.8749'}]",0,0,0,1,0
100350106,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Randle Street,0,0,0,"[{'lon': '151.2073', 'lat': '-33.88548'}, {'lon': '151.20726', 'lat': '-33.88553'}, {'lon': '151.20717', 'lat': '-33.8856'}, {'lon': '151.20713', 'lat': '-33.88565'}, {'lon': '151.20711', 'lat': '-33.88568'}, {'lon': '151.20711', 'lat': '-33.88573'}, {'lon': '151.20717', 'lat': '-33.88582'}]",0,3,0,4,0
100350108,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.20709', 'lat': '-33.8855'}, {'lon': '151.20694', 'lat': '-33.88559'}, {'lon': '151.20703', 'lat': '-33.88564'}, {'lon': '151.20711', 'lat': '-33.88568'}]",0,3,0,3,0
100352485,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.20917', 'lat': '-33.88503'}, {'lon': '151.20901', 'lat': '-33.88503'}]",0,0,0,2,0
100373492,7,0,2,0,0,0,4,1,1,0,0,0,0,0,2,0,0,1,1,3,1,0,1,2,0,0,0,0,0,0,0,Pitt Street,0,0,0,"[{'lon': '151.20522', 'lat': '-33.8822'}, {'lon': '151.20481', 'lat': '-33.88254'}, {'lon': '151.20462', 'lat': '-33.88267'}, {'lon': '151.20439', 'lat': '-33.88279'}, {'lon': '151.20436', 'lat': '-33.8828'}, {'lon': '151.20415', 'lat': '-33.88287'}]",0,1,0,5,0
100377319,6,0,0,0,1,0,7,2,1,0,0,0,2,0,0,1,0,1,0,1,0,1,1,2,1,0,0,0,0,0,0,Goulburn Street,2,1,1,"[{'lon': '151.20382', 'lat': '-33.87758'}, {'lon': '151.20393', 'lat': '-33.8776'}, {'lon': '151.20406', 'lat': '-33.8776'}, {'lon': '151.20459', 'lat': '-33.8776'}, {'lon': '151.20469', 'lat': '-33.87761'}, {'lon': '151.20555', 'lat': '-33.87774'}, {'lon': '151.20571', 'lat': '-33.87778'}]",0,6,3,8,0
100382512,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool Street,1,0,0,"[{'lon': '151.20951', 'lat': '-33.8768'}, {'lon': '151.20986', 'lat': '-33.87681'}]",0,1,1,3,0
100382517,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Liverpool Street,0,0,0,"[{'lon': '151.2119', 'lat': '-33.87688'}, {'lon': '151.21176', 'lat': '-33.87691'}, {'lon': '151.21108', 'lat': '-33.8769'}, {'lon': '151.21077', 'lat': '-33.8769'}, {'lon': '151.21021', 'lat': '-33.8769'}]",0,0,1,3,0
100382529,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[{'lon': '151.20956', 'lat': '-33.8764'}, {'lon': '151.20962', 'lat': '-33.8766'}, {'lon': '151.20969', 'lat': '-33.87669'}, {'lon': '151.20975', 'lat': '-33.87673'}, {'lon': '151.20986', 'lat': '-33.87681'}]",0,1,1,3,0
100637112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.23188', 'lat': '-33.90634'}, {'lon': '151.23173', 'lat': '-33.90639'}, {'lon': '151.23167', 'lat': '-33.90649'}, {'lon': '151.23173', 'lat': '-33.90662'}]",0,0,0,0,0
100945911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edward Avenue,0,1,0,"[{'lon': '151.22161', 'lat': '-33.92106'}, {'lon': '151.22257', 'lat': '-33.92118'}, {'lon': '151.22301', 'lat': '-33.92124'}, {'lon': '151.22314', 'lat': '-33.92122'}, {'lon': '151.22379', 'lat': '-33.9211'}]",0,0,0,0,0
101479517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22309', 'lat': '-33.90998'}, {'lon': '151.22311', 'lat': '-33.90989'}, {'lon': '151.22318', 'lat': '-33.9099'}, {'lon': '151.22341', 'lat': '-33.90993'}, {'lon': '151.2235', 'lat': '-33.90995'}, {'lon': '151.22348', 'lat': '-33.91003'}]",0,0,0,2,0
101482684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22332', 'lat': '-33.9089'}, {'lon': '151.22355', 'lat': '-33.90882'}]",0,0,0,0,0
101505708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlton Street,0,0,0,"[{'lon': '151.22391', 'lat': '-33.90558'}, {'lon': '151.22403', 'lat': '-33.90559'}, {'lon': '151.22505', 'lat': '-33.90575'}, {'lon': '151.22614', 'lat': '-33.90591'}]",0,0,0,0,0
101505709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abbotford Street,0,0,0,"[{'lon': '151.22395', 'lat': '-33.90456'}, {'lon': '151.22408', 'lat': '-33.9045'}]",0,0,0,0,0
101505710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abbotford Street,0,0,0,"[{'lon': '151.2241', 'lat': '-33.90462'}, {'lon': '151.22395', 'lat': '-33.90456'}]",0,0,0,0,0
101506528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade,0,0,0,"[{'lon': '151.22019', 'lat': '-33.8892'}, {'lon': '151.2207', 'lat': '-33.89052'}, {'lon': '151.22078', 'lat': '-33.89078'}]",0,0,0,0,0
101506529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade,0,0,0,"[{'lon': '151.22005', 'lat': '-33.88923'}, {'lon': '151.21982', 'lat': '-33.88862'}, {'lon': '151.21944', 'lat': '-33.88773'}, {'lon': '151.21901', 'lat': '-33.8868'}, {'lon': '151.21896', 'lat': '-33.88667'}]",0,0,0,0,0
101506530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.21826', 'lat': '-33.88658'}, {'lon': '151.21834', 'lat': '-33.88669'}]",0,1,0,0,0
101511924,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William Street Offramp,0,0,0,"[{'lon': '151.21694', 'lat': '-33.88015'}, {'lon': '151.21693', 'lat': '-33.87968'}, {'lon': '151.21691', 'lat': '-33.87933'}, {'lon': '151.21691', 'lat': '-33.87899'}, {'lon': '151.21705', 'lat': '-33.87779'}, {'lon': '151.21718', 'lat': '-33.87681'}, {'lon': '151.21724', 'lat': '-33.87636'}, {'lon': '151.21724', 'lat': '-33.87611'}]",0,7,3,3,0
101511932,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William Street Offramp,0,0,0,"[{'lon': '151.21724', 'lat': '-33.87597'}, {'lon': '151.2172', 'lat': '-33.87554'}, {'lon': '151.21716', 'lat': '-33.87516'}, {'lon': '151.21718', 'lat': '-33.87498'}, {'lon': '151.21724', 'lat': '-33.87469'}, {'lon': '151.21724', 'lat': '-33.87461'}, {'lon': '151.21725', 'lat': '-33.8745'}]",0,0,0,2,0
101666992,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Darlinghurst Road,1,0,0,"[{'lon': '151.21992', 'lat': '-33.87912'}, {'lon': '151.21996', 'lat': '-33.87903'}, {'lon': '151.22025', 'lat': '-33.87847'}]",0,1,1,0,0
101670087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22041', 'lat': '-33.87987'}, {'lon': '151.22049', 'lat': '-33.87994'}, {'lon': '151.22063', 'lat': '-33.88011'}, {'lon': '151.22067', 'lat': '-33.88017'}, {'lon': '151.22061', 'lat': '-33.88023'}, {'lon': '151.22051', 'lat': '-33.88033'}, {'lon': '151.2204', 'lat': '-33.88043'}, {'lon': '151.22008', 'lat': '-33.88018'}]",0,0,0,0,0
101670088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22032', 'lat': '-33.87995'}, {'lon': '151.22021', 'lat': '-33.87988'}, {'lon': '151.21984', 'lat': '-33.87967'}, {'lon': '151.21969', 'lat': '-33.87958'}]",0,0,0,0,0
101670089,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22053', 'lat': '-33.87976'}, {'lon': '151.22051', 'lat': '-33.87974'}, {'lon': '151.22036', 'lat': '-33.87963'}, {'lon': '151.22023', 'lat': '-33.87953'}, {'lon': '151.22001', 'lat': '-33.87924'}, {'lon': '151.21996', 'lat': '-33.8792'}, {'lon': '151.21992', 'lat': '-33.87912'}]",0,0,0,0,0
101670090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22023', 'lat': '-33.87953'}, {'lon': '151.22021', 'lat': '-33.87988'}]",0,0,0,0,0
